==== START logs for container coredns of pod kube-system/coredns-66bc5c9577-2d4h5 ====
maxprocs: Leaving GOMAXPROCS=16: CPU quota undefined
.:53
[INFO] plugin/reload: Running configuration SHA512 = e7e8a6c4578bf29b9f453cb54ade3fb14671793481527b7435e35119b25e84eb3a79242b1f470199f8605ace441674db8f1b6715b77448c20dde63e2dc5d2169
CoreDNS-1.12.1
linux/amd64, go1.24.1, 707c7c1
[INFO] 10.244.0.19:48456 - 49848 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000285089s
[INFO] 10.244.0.19:39197 - 4779 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.109493992s
[INFO] 10.244.0.19:58129 - 12485 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000352599s
[INFO] 10.244.0.19:35960 - 64203 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000358428s
[INFO] 10.244.0.19:33688 - 58008 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000265126s
[INFO] 10.244.0.19:54020 - 57863 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.107123828s
[INFO] 10.244.0.19:47969 - 61491 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000314548s
[INFO] 10.244.0.19:59088 - 16143 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.00027978s
[INFO] 10.244.0.19:45474 - 35234 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000233583s
[INFO] 10.244.0.19:46426 - 53015 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.112338579s
[INFO] 10.244.0.19:56374 - 22010 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.00033275s
[INFO] 10.244.0.19:49405 - 7939 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000299853s
[INFO] 10.244.0.19:52374 - 7992 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000295004s
[INFO] 10.244.0.19:35956 - 24029 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.201328545s
[INFO] 10.244.0.19:55435 - 28432 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000320892s
[INFO] 10.244.0.19:58771 - 60247 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000256947s
[INFO] 10.244.0.19:33272 - 58266 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000207295s
[INFO] 10.244.0.19:46220 - 22877 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.229006195s
[INFO] 10.244.0.19:43144 - 24659 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000348619s
[INFO] 10.244.0.19:40496 - 7026 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000255831s
[INFO] 10.244.0.19:40122 - 19067 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000208707s
[INFO] 10.244.0.19:59626 - 38779 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.177903965s
[INFO] 10.244.0.19:41868 - 44086 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.00042397s
[INFO] 10.244.0.19:52561 - 32859 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000208192s
[INFO] 10.244.0.19:50639 - 28488 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000247704s
[INFO] 10.244.0.19:60130 - 7723 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.240107994s
